Chest Type,ItemStack,Item Display Name,Item ID,Weight
bonusChest,1xitem.stick@0,Stick,minecraft:stick,10
bonusChest,1xtile.wood@0,Oak Wood Planks,minecraft:planks,10
bonusChest,1xtile.log@0,Oak Wood,minecraft:log,10
bonusChest,1xitem.apple@0,Apple,minecraft:apple,5
bonusChest,1xitem.bread@0,Bread,minecraft:bread,3
bonusChest,1xtile.log@0,Acacia Wood,minecraft:log2,10
bonusChest,1xic2.itemTreetap@0,Treetap,IC2:itemTreetap,2
bonusChest,1xitem.lexicon@0,Lexica Botania,Botania:lexicon,7
bonusChest,1xitem.blackLotus@0,Black Lotus,Botania:blackLotus,1
bonusChest,1xitem.wadingBoots@0,Wading Boots,BiomesOPlenty:wadingBoots,5
bonusChest,1xitem.flippers@0,Flippers,BiomesOPlenty:flippers,5
bonusChest,1xitem.ricecake@0,Ricecake (without Fish),NuclearCraft:ricecake,6
bonusChest,1xitem.boiledEgg@0,Boiled Egg,NuclearCraft:boiledEgg,6
bonusChest,1xitem.weaponcase@0,Weapon Case: First Edition,weaponcaseloot:item.weaponcase,3
bonusChest,1xitem.weaponcase@1,Weapon Case: Second Edition,weaponcaseloot:item.weaponcase,3
bonusChest,1xitem.weaponcase@2,Weapon Case: Bows,weaponcaseloot:item.weaponcase,3
bonusChest,1xitem.weaponcase@3,Weapon Case: Baubles Rings,weaponcaseloot:item.weaponcase,3
bonusChest,1xitem.InfiTool.Broadsword@0,Broadsword,TConstruct:broadsword,10
bonusChest,1xitem.InfiTool.Pickaxe@0,§fStarter Pickaxe,TConstruct:pickaxe,5
bonusChest,1xitem.InfiTool.Axe@0,§fStarter Hatchet,TConstruct:hatchet,5
bonusChest,1xgt.metaitem.02@32100,Purple Drink,gregtech:gt.metaitem.02,2
dimensionalDungeonChest,1xitem.mfr.safarinet.jailer@0,Jailer's Safari Net,MineFactoryReloaded:safarinet.jailer,15
dimensionalDungeonChest,1xtile.mfr.rubberwood.sapling@0,Rubber Sapling,MineFactoryReloaded:rubberwood.sapling,70
dimensionalDungeonChest,1xitem.mfr.pinkslime@0,Pink Slimeball,MineFactoryReloaded:pinkslime,1
dungeonChest,1xitem.saddle@0,Saddle,minecraft:saddle,10
dungeonChest,1xitem.ingotIron@0,Iron Ingot,minecraft:iron_ingot,10
dungeonChest,1xitem.bread@0,Bread,minecraft:bread,10
dungeonChest,1xitem.wheat@0,Wheat,minecraft:wheat,10
dungeonChest,1xitem.sulphur@0,Gunpowder,minecraft:gunpowder,10
dungeonChest,1xitem.string@0,String,minecraft:string,10
dungeonChest,1xitem.bucket@0,Bucket,minecraft:bucket,10
dungeonChest,1xitem.appleGold@0,Golden Apple,minecraft:golden_apple,1
dungeonChest,1xitem.redstone@0,Redstone,minecraft:redstone,10
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_13,10
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_cat,10
dungeonChest,1xitem.nameTag@0,Name Tag,minecraft:name_tag,10
dungeonChest,1xitem.horsearmorgold@0,Gold Horse Armor,minecraft:golden_horse_armor,2
dungeonChest,1xitem.horsearmormetal@0,Iron Horse Armor,minecraft:iron_horse_armor,5
dungeonChest,1xitem.horsearmordiamond@0,Diamond Horse Armor,minecraft:diamond_horse_armor,1
dungeonChest,1xitem.enchantedBook@0,Enchanted Book,minecraft:enchanted_book,1
dungeonChest,1xitem.railcraft.ingot@1,Copper Ingot,Railcraft:ingot,100
dungeonChest,1xitem.railcraft.ingot@2,Tin Ingot,Railcraft:ingot,100
dungeonChest,1xic2.itemOreIridium@0,Iridium Ore,IC2:itemOreIridium,20
dungeonChest,1xic2.itemShardIridium@0,Iridium Shard,IC2:itemShardIridium,100
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_blocks,5
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_chirp,5
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_far,5
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_mall,5
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_mellohi,5
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_stal,5
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_strad,5
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_ward,5
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_11,5
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_wait,5
dungeonChest,1xitem.runes@17,Infinity Orb,arsmagica2:rune,3
dungeonChest,1xitem.runes@18,Infinity Orb,arsmagica2:rune,1
dungeonChest,1xitem.manaResource@0,Manasteel Ingot,Botania:manaResource,9
dungeonChest,1xitem.lexicon@0,Lexica Botania,Botania:lexicon,6
dungeonChest,1xitem.manaBottle@0,Mana in a Bottle,Botania:manaBottle,5
