Fluid,Amount,Empty Container,Empty Container Display Name,Empty Container Item,Filled Container,Filled Container Display Name,Filled Container Item
acid,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@64,extrabees.acid Capsule,BinnieCore:containerRefractory
acid,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@64,extrabees.acid Bucket,BinnieCore:containerBucket
acid,8000,1xitem.capsule.void@0,Empty Void Capsule,MagicBees:capsule.void,1xitem.capsule.void@12,Acid Void Capsule,MagicBees:capsule.void
acid,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@64,extrabees.acid Can,BinnieCore:containerCan
acid,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@64,extrabees.acid Capsule,BinnieCore:containerCapsule
acid,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@64,extrabees.acid Bottle,BinnieCore:containerGlass
acid,2000,1xitem.capsule.magic@0,Empty Magic Capsule,MagicBees:capsule.magic,1xitem.capsule.magic@12,Acid Magic Capsule,MagicBees:capsule.magic
acid,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@64,extrabees.acid Cylinder,BinnieCore:containerCylinder
adamantine.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.extratic.bucket@12,Molten Adamantine Bucket,ExtraTiC:extra.bucket
air,2000,1xic2.itemCellEmpty@0,Empty Cell,IC2:itemCellEmpty,1xic2.itemCellEmpty@5,Compressed Air Cell,IC2:itemCellEmpty
aluminum.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@4,Molten Aluminum Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
aluminum.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@4,Molten Aluminum Bucket,TConstruct:buckets
aluminumbrass.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@8,Molten Aluminum Brass Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
aluminumbrass.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@8,Molten Aluminum Brass Bucket,TConstruct:buckets
alumite.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@10,Molten Alumite Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
alumite.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@10,Molten Alumite Bucket,TConstruct:buckets
ardite.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@6,Molten Ardite Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
ardite.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@6,Molten Ardite Bucket,TConstruct:buckets
argon,1000,1xic2.itemCellEmpty@0,Empty Cell,IC2:itemCellEmpty,1xgt.metaitem.01@30024,Argon Cell,gregtech:gt.metaitem.01
bedrockium.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.extratic.bucket@19,Molten Bedrockium Bucket,ExtraTiC:extra.bucket
binnie.bacteria,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@769,Bacteria Cylinder,BinnieCore:containerCylinder
binnie.bacteriapoly,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@770,Polymerising Bacteria Cylinder,BinnieCore:containerCylinder
binnie.bacteriavector,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@772,Bacteria Vector Cylinder,BinnieCore:containerCylinder
binnie.beerale,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@403,Ale Capsule,BinnieCore:containerCapsule
binnie.beerale,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@403,Ale Bucket,BinnieCore:containerBucket
