Ore Name,ItemStack,Item ID,Display Name,Wildcard
Am241,1xitem.null@90,NuclearCraft:material,Americium-241,false
Am241,1xitem.null@108,NuclearCraft:material,Americium-241 Oxide,false
Am241Base,1xitem.null@90,NuclearCraft:material,Americium-241,false
Am241Oxide,1xitem.null@108,NuclearCraft:material,Americium-241 Oxide,false
Am242,1xitem.null@92,NuclearCraft:material,Americium-242,false
Am242,1xitem.null@110,NuclearCraft:material,Americium-242 Oxide,false
Am242Base,1xitem.null@92,NuclearCraft:material,Americium-242,false
Am242Oxide,1xitem.null@110,NuclearCraft:material,Americium-242 Oxide,false
Am243,1xitem.null@94,NuclearCraft:material,Americium-243,false
Am243,1xitem.null@112,NuclearCraft:material,Americium-243 Oxide,false
Am243Base,1xitem.null@94,NuclearCraft:material,Americium-243,false
Am243Oxide,1xitem.null@112,NuclearCraft:material,Americium-243 Oxide,false
B10,1xitem.null@48,NuclearCraft:material,Boron-10,false
B11,1xitem.null@49,NuclearCraft:material,Boron-11,false
Cf250,1xitem.null@122,NuclearCraft:material,Californium-250,false
Cf250,1xitem.null@124,NuclearCraft:material,Californium-250 Oxide,false
Cf250Base,1xitem.null@122,NuclearCraft:material,Californium-250,false
Cf250Oxide,1xitem.null@124,NuclearCraft:material,Californium-250 Oxide,false
Cm243,1xitem.null@96,NuclearCraft:material,Curium-243,false
Cm243,1xitem.null@114,NuclearCraft:material,Curium-243 Oxide,false
Cm243Base,1xitem.null@96,NuclearCraft:material,Curium-243,false
Cm243Oxide,1xitem.null@114,NuclearCraft:material,Curium-243 Oxide,false
Cm245,1xitem.null@98,NuclearCraft:material,Curium-245,false
Cm245,1xitem.null@116,NuclearCraft:material,Curium-245 Oxide,false
Cm245Base,1xitem.null@98,NuclearCraft:material,Curium-245,false
Cm245Oxide,1xitem.null@116,NuclearCraft:material,Curium-245 Oxide,false
Cm246,1xitem.null@100,NuclearCraft:material,Curium-246,false
Cm246,1xitem.null@118,NuclearCraft:material,Curium-246 Oxide,false
Cm246Base,1xitem.null@100,NuclearCraft:material,Curium-246,false
Cm246Oxide,1xitem.null@118,NuclearCraft:material,Curium-246 Oxide,false
Cm247,1xitem.null@102,NuclearCraft:material,Curium-247,false
Cm247,1xitem.null@120,NuclearCraft:material,Curium-247 Oxide,false
Cm247Base,1xitem.null@102,NuclearCraft:material,Curium-247,false
Cm247Oxide,1xitem.null@120,NuclearCraft:material,Curium-247 Oxide,false
HEA242,1xitem.null@82,NuclearCraft:fuel,HEA-242 Fuel,false
HEA242Cell,1xitem.null@102,NuclearCraft:fuel,HEA-242 Fuel Cell,false
HEA242CellOxide,1xitem.null@112,NuclearCraft:fuel,HEA-242 Oxide Fuel Cell,false
HEA242Oxide,1xitem.null@92,NuclearCraft:fuel,HEA-242 Oxide Fuel,false
HEC243,1xitem.null@84,NuclearCraft:fuel,HEC-243 Fuel,false
HEC243Cell,1xitem.null@104,NuclearCraft:fuel,HEC-243 Fuel Cell,false
HEC243CellOxide,1xitem.null@114,NuclearCraft:fuel,HEC-243 Oxide Fuel Cell,false
HEC243Oxide,1xitem.null@94,NuclearCraft:fuel,HEC-243 Oxide Fuel,false
HEC245,1xitem.null@86,NuclearCraft:fuel,HEC-245 Fuel,false
HEC245Cell,1xitem.null@106,NuclearCraft:fuel,HEC-245 Fuel Cell,false
HEC245CellOxide,1xitem.null@116,NuclearCraft:fuel,HEC-245 Oxide Fuel Cell,false
HEC245Oxide,1xitem.null@96,NuclearCraft:fuel,HEC-245 Oxide Fuel,false
HEC247,1xitem.null@88,NuclearCraft:fuel,HEC-247 Fuel,false
HEC247Cell,1xitem.null@108,NuclearCraft:fuel,HEC-247 Fuel Cell,false
HEC247CellOxide,1xitem.null@118,NuclearCraft:fuel,HEC-247 Oxide Fuel Cell,false
HEC247Oxide,1xitem.null@98,NuclearCraft:fuel,HEC-247 Oxide Fuel,false
HEN236,1xitem.null@80,NuclearCraft:fuel,HEN-236 Fuel,false
HEN236Cell,1xitem.null@100,NuclearCraft:fuel,HEN-236 Fuel Cell,false
HEN236CellOxide,1xitem.null@110,NuclearCraft:fuel,HEN-236 Oxide Fuel Cell,false
HEN236Oxide,1xitem.null@90,NuclearCraft:fuel,HEN-236 Oxide Fuel,false
HEP239,1xitem.null@3,NuclearCraft:fuel,HEP-239 Fuel,false
HEP239Cell,1xitem.null@14,NuclearCraft:fuel,HEP-239 Fuel Cell,false
HEP239CellOxide,1xitem.null@62,NuclearCraft:fuel,HEP-239 Oxide Fuel Cell,false
HEP239Oxide,1xitem.null@54,NuclearCraft:fuel,HEP-239 Oxide Fuel,false
HEP241,1xitem.null@9,NuclearCraft:fuel,HEP-241 Fuel,false
HEP241Cell,1xitem.null@20,NuclearCraft:fuel,HEP-241 Fuel Cell,false
HEP241CellOxide,1xitem.null@66,NuclearCraft:fuel,HEP-241 Oxide Fuel Cell,false
HEP241Oxide,1xitem.null@58,NuclearCraft:fuel,HEP-241 Oxide Fuel,false
HEU233,1xitem.null@7,NuclearCraft:fuel,HEU-233 Fuel,false
HEU233Cell,1xitem.null@18,NuclearCraft:fuel,HEU-233 Fuel Cell,false
HEU233CellOxide,1xitem.null@64,NuclearCraft:fuel,HEU-233 Oxide Fuel Cell,false
HEU233Oxide,1xitem.null@56,NuclearCraft:fuel,HEU-233 Oxide Fuel,false
HEU235,1xitem.null@1,NuclearCraft:fuel,HEU-235 Fuel,false
HEU235Cell,1xitem.null@12,NuclearCraft:fuel,HEU-235 Fuel Cell,false
HEU235CellOxide,1xitem.null@60,NuclearCraft:fuel,HEU-235 Oxide Fuel Cell,false
HEU235Oxide,1xitem.null@52,NuclearCraft:fuel,HEU-235 Oxide Fuel,false
LEA242,1xitem.null@81,NuclearCraft:fuel,LEA-242 Fuel,false
LEA242Cell,1xitem.null@101,NuclearCraft:fuel,LEA-242 Fuel Cell,false
LEA242CellOxide,1xitem.null@111,NuclearCraft:fuel,LEA-242 Oxide Fuel Cell,false
